chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr7	142345782	142507620	0.357388196009035	100	0.116652713884271	1.23799447715087	15436	0.315091957864564	7	7	0	-6.73342045771152
chr7	142619093	159232804	0.498990138396509	376	0.0746948546083634	1.06487218201632	599477	0.375708363274086	3	2	1	-6.8024717439959
chr8	213249	43292797	0.498892280897264	763	0.0816837974550187	1.00290812471319	1190691	0.340091583674547	2	1	1	-6.73510185906937
chr8	47962049	144945795	0.498905157932101	1128	0.0854827018825301	0.983284897501026	1920448	0.478466586100203	2	1	1	-6.80399890009741
chr9	14889	28149106	0.497235351277418	260	0.0752911225401317	0.960544325199389	484628	0.320098010238565	1	1	0	-6.8113908623424
chr9	28888787	30689076	-0.00319841251747544	9	0	1.10595243285694	823	0.43146797479271	0	0	0	-Inf
chr9	30689690	38615782	0.473324852490368	206	0.0764446332711164	0.997840957771595	438347	0.301306544439976	2	2	0	-6.78860671949949
chr9	38620027	42894419	0.498664784258875	83	0.114291066318156	0.933256397608925	39119	0.379755591093396	0	0	0	-6.7565109464475
chr9	61192412	64378915	0.306523570465785	35	0.131051353075263	0.979358776223013	12072	0.371713789204969	4	4	0	-7.26069698141065
chr9	65384078	138177100	0.498915497267952	1670	0.0825696715158403	1.0078251373334	2908998	0.336463922931842	2	1	1	-6.75683836452019
chr10	362368	38641086	0.498891870477183	751	0.0833714217652242	0.974877716057519	867668	0.344320886253391	2	1	1	-6.85543185607041
chr10	42271835	133626421	0.49891663820371	1622	0.0821065201782939	0.997259176297367	2978448	0.361158233001466	2	1	1	-6.73616250371642
chr11	134722	1096339	0.498841356577675	221	0.0838688046195817	1.03152060306711	190658	0.346586472449872	2	1	1	-6.73778439006046
chr11	1097284	1099522	0.152977741756754	14	0.159679847965089	1.06610422534418	1342	0.299124118983867	20	20	0	-6.89913461931485
chr11	1099692	3377432	0.498846598731428	168	0.0933842197017628	1.07730009287141	196838	0.353867156806099	4	2	2	-6.73783598446943
chr11	3379007	3638538	0.0912201228983779	9	0.162242103043569	0.820141536446855	2886	0.411057939513555	20	20	0	-7.7698501410312
chr11	3638763	50019604	0.498906751182337	932	0.075323418385726	1.00131834728288	1551813	0.326473858840182	2	1	1	-6.73365108275078
chr11	55343533	134487256	0.496745208391672	1563	0.0836329173281789	1.01708069449641	3542165	0.333077408316364	2	1	1	-6.85510030856232
chr12	12233	16927	0.335147419176705	16	0.0891200501196747	1.51868203730317	1734	0.486806523441181	12	11	1	-6.73328016031122
chr12	17812	34165416	0.498883783806223	939	0.0899024067314888	0.990697207851457	1294987	0.33339972991213	2	1	1	-6.74897747760874
chr12	37544766	133121951	0.49891609556244	2039	0.0828793758983804	1.00350385603	3881878	0.333264696423205	2	1	1	-6.73965861196175
chr13	18171393	18946930	0.315520142190237	96	0.11137508491343	1.01617464287982	17755	0.426124951124963	8	8	0	-6.92959531374492
chr13	18951879	114299067	0.498895337644868	860	0.0810034802923702	0.986111858111775	1628226	0.346340498397293	2	1	1	-6.8242369312607
chr14	18601543	21570848	0.498972501998921	200	0.0891362183802728	1.01575778428055	202967	0.30588004892367	2	1	1	-6.73779598456832
chr14	21611989	22524578	0.49929592738098	80	0.0587564378374129	1.67533044913015	70247	0.950794013409712	16	8	8	-6.73324424843904
chr14	22525836	106810329	0.498909677986154	1572	0.0832548020729827	1.01895130441548	2818802	0.344216894536745	2	1	1	-6.88082506060612
chr15	20008472	22611929	0.349019672314215	70	0.122972993550849	0.968689604815993	47186	0.378745169602935	4	4	0	-7.04374134344461
chr15	22613261	101966322	0.498909675031985	1806	0.087120686847658	1.00514991805238	3376925	0.384439193366685	2	1	1	-6.74180917206763
chr16	17135	35255736	0.498910002268155	1076	0.0881958271843951	1.04966392074965	2086833	0.349112306377761	3	2	1	-6.77259525377237
chr16	46568586	90095277	0.48798219978162	1181	0.0741763132358039	1.03419360876662	1912341	0.357981450685645	3	2	1	-6.79431734944082
chr17	138189	15675538	0.498916409859923	780	0.0791648713067701	1.03429988944927	1221528	0.334804817047383	3	2	1	-6.80074146284423
chr17	15699470	15737333	0.386510596724424	9	0.131716024503897	1.03334969885485	5894	0.343363405932042	5	5	0	-6.73602540193064
chr17	15737501	22567449	0.498814599559943	397	0.0941614296378183	1.03030077546051	424051	0.339051361902165	2	1	1	-6.76484812883757
chr17	26981904	83134491	0.498917188963166	2073	0.0787902102324723	1.03020537146431	3840871	0.349251630746868	3	2	1	-6.88035249048567
chr17	83134596	83135620	0.285447296535728	12	0.150960033844001	1.03908155731526	853	0.326183192146488	14	14	0	-6.73456906749709
chr18	120645	15005737	0.4988552401029	273	0.0797595136674599	0.986476877515529	391005	0.350402573482911	2	1	1	-6.74649044886333
chr18	21403805	80169145	0.49664093390076	490	0.0862591815667996	0.994546509432576	1060077	0.33792613193597	2	1	1	-6.74295942707055
chr19	281360	20553871	0.498926645672561	1745	0.0699887476920504	1.06818656179658	2454934	0.35656913978605	4	2	2	-6.81413390651304
chr19	20565716	23827191	0.498952757870184	126	0.0911446392819746	0.965457498047247	73033	0.399041084547754	2	1	1	-6.74820613775362
chr19	29076047	58599387	0.498922444634562	2238	0.0783247033187937	1.07305014247064	3068621	0.350497466388368	4	2	2	-6.82016484738339
chr20	96059	1697737	0.49928218919966	78	0.0667068289780067	1.02207121691211	89286	0.312462554314867	2	1	1	-6.73781228357529
chr20	1914924	1915344	0.243726265941157	27	0.0561304443294972	0.971819847708117	420	0.268158194282854	19	19	0	-6.73452591599642
chr20	1915454	25489434	0.499070934255452	331	0.0763023478238948	1.00328841583688	628557	0.341543903176326	2	1	1	-6.73447301347465
chr20	26081324	26208270	0.277323024739565	13	0.107853652030936	0.922327852892517	1978	0.402967225682082	13	13	0	-6.86551587664992
chr20	28565257	31286154	0.498697857191786	153	0.111756379639343	0.953627213652484	15805	0.384831578321536	2	1	1	-6.75780064619059
chr20	31308309	64105965	0.498908979080474	952	0.0748347178292099	1.03393224376275	1650671	0.330006526185734	3	2	1	-6.83016321538342
chr21	5034290	13051771	0.318659927012778	65	0.122893573015278	1.01180183827808	23944	0.570258526640309	4	4	0	-7.14294425472779
chr21	13422679	30741957	0.499095426860568	142	0.088078903929096	0.969710914128086	173110	0.325141970490468	1	1	0	-6.82396706127838
chr21	30741969	30742180	0.402204246441305	9	0.167024282998345	2.86411977027778	211	0.802389803634027	17	12	5	-6.73318195548685
chr21	30747177	38878842	0.487282303597699	112	0.0789857108552238	1.00073209332233	285455	0.357032787337815	2	1	1	-6.74856853877268
chr21	39127691	39127824	0.155265348074569	13	0.0162859070742397	1.32143754618215	133	0.144349657208159	20	20	0	-12.117847322793
chr21	39177363	46602317	0.498897268490318	388	0.0741981716973949	1.0368334404208	473119	0.352676035787725	2	1	1	-6.77981383952305
chr22	10685603	12602515	0.498495098010814	49	0.150266642258055	0.911669822111108	5917	0.374297530745657	0	0	0	-6.7344647692909
chr22	15528179	23964350	0.49897216220231	528	0.0955688280425259	1.05617871297432	539894	0.374115943413768	3	2	1	-6.76820245185917
chr22	23976889	24000289	0.186614536210296	10	0.074263868888055	1.1017603864734	2478	0.647929518528157	20	20	0	-7.00556553181111
chr22	24001379	50772964	0.49235977180886	961	0.0766964492260325	1.05646715104347	1642665	0.345427798870053	3	2	1	-6.76474935723924
chrX	284193	49591026	0.460908954181766	91	0.101330131769359	1.01815992061888	937170	0.373164653392959	2	2	0	-6.80845448590292
chrX	102463005	156027307	0.498347487944619	45	0.167731522488659	1.03574328289728	1061904	0.364108330856988	3	2	1	-6.78806148386866
chrY	11350900	11986362	0.259781316518637	3	0.0560119034967866	0.992253642535743	3664	0.403915447984651	14	14	0	-7.31080332797861
chrY	56855303	56855461	0.3	1	NA	1.45366545837792	152	0.185463516318779	11	11	0	-5.76441015305617
